tag,activation,n_layers,width,l2_u,l2_v,l2_p,final_loss,training_time_seconds,model_path,plot_path
act-SiLU_L3_W64,SiLU,3,64,0.021329641342163086,0.15771904587745667,1.7637536525726318,0.003916975576430559,82.456182063,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L3_W64.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L3_W64.png
act-SiLU_L3_W128,SiLU,3,128,0.012666868977248669,0.06726592779159546,1.9863882064819336,0.0014934500213712454,91.52386797499997,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L3_W128.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L3_W128.png
act-SiLU_L3_W256,SiLU,3,256,0.013064970262348652,0.0537366084754467,0.4007851481437683,0.001345184980891645,98.06540897400004,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L3_W256.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L3_W256.png
act-SiLU_L3_W512,SiLU,3,512,0.009944379329681396,0.02939114347100258,0.4638351798057556,0.000917192199267447,124.24589167099998,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L3_W512.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L3_W512.png
act-SiLU_L4_W64,SiLU,4,64,0.027656933292746544,0.19742882251739502,0.4183543920516968,0.00377392559312284,111.15779599000007,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W128,SiLU,4,128,0.010058418847620487,0.041151262819767,0.2952095568180084,0.001623372663743794,113.01625282200007,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L4_W128.png
act-SiLU_L4_W256,SiLU,4,256,0.007751015480607748,0.04057351499795914,0.662780225276947,0.0004927697591483593,127.12205658899995,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W512,SiLU,4,512,0.005414173007011414,0.0158185213804245,1.3848793506622314,0.0001498306664871052,148.944970043,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L5_W64,SiLU,5,64,0.012687144801020622,0.0472993366420269,0.28558290004730225,0.0012474110117182136,129.6631844970002,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L5_W64.png
act-SiLU_L5_W128,SiLU,5,128,0.011831659823656082,0.036933496594429016,0.33606845140457153,0.0009536407887935638,135.7099887549998,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W256,SiLU,5,256,0.009071499109268188,0.03659072890877724,1.087282657623291,0.0015604866202920675,145.78424349800002,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W512,SiLU,5,512,0.012945599853992462,0.08039530366659164,2.063307762145996,0.0038605285808444023,170.550537222,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-SiLU_L5_W512.png
act-GELU_L3_W64,GELU,3,64,0.014172425493597984,0.04871070757508278,1.2274971008300781,0.001511984271928668,76.20588604599993,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W128,GELU,3,128,0.01058980543166399,0.052287593483924866,0.7114028930664062,0.0008816423360258341,83.66293311699997,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W256,GELU,3,256,0.007504328619688749,0.02668788842856884,0.6468670964241028,0.00022116870968602598,106.82000130300003,/content/drive/MyDrive/PINN_Kovasznay_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_Kovasznay_sweep/plots/act-GELU_L3_W256.png
