tag,activation,n_layers,width,t,l2_u,l2_v,l2_p,final_loss,training_time_seconds,model_path,plot_path
act-SiLU_L3_W512,SiLU,3,512,32.0,1.0001248121261597,1.0009735822677612,4.451313495635986,0.0004730876535177231,152.04858374399987,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L3_W512.png
act-SiLU_L3_W512,SiLU,3,512,50.0,1.0015084743499756,1.0066487789154053,9.8999662399292,0.0004730876535177231,152.04858374399987,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L3_W512.png
act-SiLU_L3_W512,SiLU,3,512,100.0,1.0495431423187256,1.2509819269180298,105.00067901611328,0.0004730876535177231,152.04858374399987,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L3_W512.png
act-SiLU_L4_W64,SiLU,4,64,2.0,0.20459914207458496,0.20121055841445923,0.44885534048080444,0.0005117683904245496,143.56532568500006,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W64,SiLU,4,64,10.0,0.8120624423027039,0.8115331530570984,2.335783004760742,0.0005117683904245496,143.56532568500006,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W64,SiLU,4,64,32.0,0.9989047646522522,0.9983770251274109,7.858588218688965,0.0005117683904245496,143.56532568500006,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W64,SiLU,4,64,50.0,1.0004607439041138,1.0001587867736816,15.448678970336914,0.0005117683904245496,143.56532568500006,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W64,SiLU,4,64,100.0,1.0034959316253662,1.0002615451812744,63.30548095703125,0.0005117683904245496,143.56532568500006,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W64.png
act-SiLU_L4_W128,SiLU,4,128,2.0,0.12214288115501404,0.12603859603405,2.028395414352417,0.00035380147164687514,151.38755775000004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W128.png
act-SiLU_L4_W128,SiLU,4,128,10.0,0.6005178093910217,0.5980281233787537,2.437122106552124,0.00035380147164687514,151.38755775000004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W128.png
